KODE_BARANG,nama_barang,STOK,SATUAN,LOKASI,LAST_UPDATE
ASPEX0202228,CONTACTOR SIEMENS 3TS 30 00-0X ,6,PCS,rak 109,13/01/2026
ASPEX0202255,CONTACTOR SN 80 - 220V ,1,PCS,rak 110,13/01/2026
ASPEX0202256,CONTACTOR SN 80 - 380V ,1,PCS,rak 111,13/01/2026
ASPEX0202304,COUNTER AUTONIC CT6Y2P4 ,3,PCS,rak 112,13/01/2026
ASPEX0202425,DIGITAL COUNTER TIMER CT6S-1P4 ,6,Pcs,rak 113,13/01/2026
ASPEX0202474,DOOR CLOSER ,4,PCS,rak 114,13/01/2026
ASPEX0202497,DOUBLE NEPLE GALVANIS 1.1/2` ,2,PCS,rak 115,13/01/2026
ASPEX0202502,DOUBLE NEPLE GALVANIS 1.5` ,10,Pcs,rak 116,13/01/2026
ASPEX0202507,DOUBLE NEPLE GALVANIS 1/2` ,45,Pcs,rak 117,13/01/2026
ASPEX0202510,DOUBLE NEPLE GALVANIS 1` ,28,Pcs,rak 118,13/01/2026
ASPEX0202516,DOUBLE NEPLE GALVANIS 2.5` ,5,Pcs,rak 119,13/01/2026
ASPEX0202518,DOUBLE NEPLE GALVANIS 2` ,14,Pcs,rak 120,13/01/2026
ASPEX0202581,ELBO GALVANIS 1.1/2 ` ,10,Pcs,rak 121,13/01/2026
ASPEX0202583,ELBO GALVANIS 1` ,29,Pcs,rak 122,13/01/2026
ASPEX0202587,ELBO LAS GALVANIS 2.5` ,5,Pcs,rak 123,13/01/2026
ASPEX0202595,ELBO PVC 2.1/2` ,5,PCS,rak 124,13/01/2026
ASPEX0202622,ELBOW GALVANIS 1/2` ,17,PCS,rak 125,13/01/2026
ASPEX0202627,ELBOW GALVANIS 2` ,10,PCS,rak 126,13/01/2026
ASPEX0202685,EMERGENCY PUSH BUTON 22 MM ,11,PCS,rak 127,13/01/2026
ASPEX0202703,ENGSEL PINTU ,59,SET,rak 128,13/01/2026
ASPEX0202746,FAN 190FLW2-22S 0.4A 80W 220V ,2,PCS,rak 129,13/01/2026
ASPEX0202774,FAN R2E225-BD92-09/A04 0.88A ,2,PCS,rak 130,13/01/2026
ASPEX0202776,FAN TYPE 200FZY-DB 2500 RPM ,4,Pcs,rak 131,13/01/2026
ASPEX0202783,FAN YWD92/100-2 1.14A 100W ,3,PCS,rak 132,13/01/2026
ASPEX0202818,FILTER FREON D-48 UNIVERSAL ,15,PCS,rak 133,13/01/2026
ASPEX0202825,FILTER INLET ,60,Mtr,rak 134,13/01/2026
ASPEX0202870,FISHEYE JOINT CYLINDER SC63 ,2,SET,rak 135,13/01/2026
ASPEX0202884,FLANGE 6` TYPE 10 K ,2,Pcs,rak 136,13/01/2026
ASPEX0202899,FLANGE GALVANIS 2` ,15,Pcs,rak 137,13/01/2026
ASPEX0202983,"FLOW SWITCH SAGINOMIYA 1"" ",3,PCS,rak 138,13/01/2026
ASPEX0203001,FREEON R - 22 ,12,Gln,rak 139,13/01/2026
ASPEX0203004,FREEON R - 407C ,12,GLN,rak 140,13/01/2026
ASPEX0203017,FULLER GAUGE KUNINGAN ,13,SET,rak 141,13/01/2026
ASPEX0203020,FULLER GAUGE STAINLESS ,5,SET,rak 142,13/01/2026
ASPEX0203140,GEMBOK ATS 30 ,1,PCS,rak 143,13/01/2026
ASPEX0203165,GERGAJI KAYU CAP MATA ,1,PCS,rak 144,13/01/2026
ASPEX0203234,GRINDA TEBAL WD 4` X 6 ,1,Pcs,rak 145,13/01/2026
ASPEX0203256,GUTTER BASE ASSEMBLY RX65SB ,1,PCS,rak 146,13/01/2026
ASPEX0203371,HEAD LAMP SENTER LED ,8,PCS,rak 147,13/01/2026
ASPEX0203384,HEATER ADAPTOR KOTAK 260X160X ,2,SET,rak 148,13/01/2026
ASPEX0203386,HEATER ADAPTOR KOTAK 260X235X ,1,SET,rak 149,13/01/2026
